unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
5,R3262,2.334844,-0.772,0.705,0.329,-0.358
27,R3262,2.685187,0.081,0.325,1.183,-0.176
46,R3262,2.484971,-1.18,1.456,1.076,-0.182
210,R3262,2.785298,-0.44,0.859,0.32,0.319
231,R3262,2.67682,-0.833,0.072,0.871,0.617
248,R3262,8.097793,-0.431,0.376,0.219,0.412
264,R3262,4.611883,-2.048,-0.508,-0.43,-0.416
305,R3262,7.814238,-1.206,0.07,0.589,-0.184
334,R3262,4.953456,-0.653,0.79,0.553,0.341
350,R3262,5.55437,-0.701,0.315,-0.496,0.806
543,R3262,5.470624,-1.007,-0.071,0.19,0.678
670,R3678,2.927102,1.996,2.001,0.506,-0.814
687,R3678,7.780895,-0.755,0.119,1.145,-1.953
703,R3678,4.803614,-1.013,0.639,1.287,-0.182
757,R3678,5.053841,-0.019,0.579,2.663,0.327
776,R3678,2.176797,0.262,0.074,2.181,0.736
800,R3678,7.346708,-0.717,0.918,2.057,1.175
958,R3678,4.962147,1.093,1.661,-1.813,0.434
979,R3678,2.476748,-0.86,-0.813,-1.465,0.212
1004,R3678,4.71153,-1.063,-0.85,1.452,1
1019,R3678,2.377077,1.724,1.573,0.336,-0.801
1072,R3678,5.153565,-0.812,-0.435,2.04,1.346
1093,R3678,2.835372,-0.781,-0.78,2.304,1.13
1279,R2595,5.053393,-1.013,-0.54,0.913,1.172
1295,R2595,5.270592,0.056,-2.351,0.799,0.119
1319,R2595,2.13482,-0.082,-2.175,0.682,0.844
1368,R2595,2.72688,-0.839,-1.708,-0.01,-0.872
1387,R2595,5.161874,-0.317,-0.239,-0.703,-2.027
1526,R2595,7.530387,0.67,-2.16,-0.216,-0.403
1725,R2595,5.270853,0.514,-2.678,-0.119,-0.567
1751,R2595,5.662316,-1.019,-0.066,1.293,-0.595
1774,R2595,2.535186,-0.866,-1.023,0.875,0.38
1913,R4052,2.426745,-0.17,1.496,-1.164,0.601
2029,R4052,2.327111,-1.627,1.194,-0.631,-0.608
2044,R4052,2.276955,-1.595,1.76,-1.584,-2.748
2070,R4052,2.685218,-1.293,1.611,-1.354,-2.166
2128,R4052,2.376532,-2.817,2.014,-0.804,-0.132
2151,R4052,4.861589,-1.071,0.761,-1.175,-0.158
2267,R4052,4.853316,-2.445,0.049,-1.374,-0.25
2285,R4052,2.735317,-2.437,1.325,-1.608,-0.974
2305,R4052,7.84697,-1.582,1.333,-0.861,-0.621
2321,R4052,5.162269,-1.953,1.984,-1.598,-1.72
2437,R4167,4.911746,0.524,0.479,0.496,1.393
2452,R4167,2.885822,-1.153,-0.285,0.121,-1.251
2568,R4167,2.427121,-0.07,-0.577,-0.351,1.361
2600,R4167,2.685181,-1.245,-0.119,-0.46,0.877
2810,R4167,2.927051,0.633,-0.059,-0.952,1.18
2825,R4167,2.427325,0.157,-0.211,0.597,-0.388
2934,R4167,5.362476,-0.534,0.677,0.573,-0.575
2967,R4167,2.426621,-0.781,-0.474,-0.128,0.151
2983,R4167,4.762133,-0.302,0.183,-0.142,0.978
3098,R4047,2.477136,-0.638,-0.528,-1.603,0.826
3123,R4047,2.376614,-0.304,-0.512,-1.514,0.465
3173,R4047,5.554246,-0.105,-0.713,-1.484,0.098
3199,R4047,2.885395,-0.511,-0.432,-1.582,1.207
3351,R4047,2.477079,0.027,-0.258,-1.417,0.698
3366,R4047,2.377114,0.088,-0.001,-1.396,0.289
3383,R4047,7.505723,-0.648,-1.286,-1.397,2.188
3398,R4047,2.485458,-0.665,-1.625,-1.525,2.132
3414,R4047,5.52094,-0.32,-0.689,-1.473,1.566
3432,R4047,2.835386,-0.143,0.202,-1.742,-0.31
3482,R4047,4.803317,0.324,0.048,-1.449,-0.021
3628,R3884,2.576736,0.422,1.63,-1.365,0.303
3648,R3884,5.261973,0.974,1.265,-1.556,0.627
3839,R3884,2.635554,0.453,0.917,-1.635,0.611
3862,R3884,2.826947,0.453,0.917,-1.635,0.611
3889,R3884,2.877064,-0.27,1.102,-1.706,0.56
3938,R3884,8.247451,0.08,0.878,-1.714,0.622
3953,R3884,2.535499,0.138,0.801,-1.614,0.625
3974,R3884,2.726921,0.418,1.257,-1.648,0.535
4156,R3884,2.776952,0.453,0.917,-1.635,0.611
4176,R3884,5.103592,0.104,1.141,-1.627,0.549
4191,R3884,2.535357,0.104,1.141,-1.627,0.549
4283,R3946,2.576882,-0.187,1.409,-0.655,0.003
4299,R3946,4.653672,-0.642,-0.038,0.017,-0.548
4327,R3946,2.576728,-0.248,1.055,-0.892,1.196
4342,R3946,2.535414,0.144,0.885,0.42,-0.103
4389,R3946,4.97011,0.167,-0.465,1.787,-1.074
4404,R3946,2.577217,0.642,0.057,0.159,-0.136
4532,R3946,5.053875,-0.592,0.8,0.558,-0.187
4551,R3946,2.735326,0.173,1.061,0.717,-0.682
4772,R3946,7.73034,-1.064,0.064,0.468,0.987
4792,R3946,5.353739,-0.776,0.478,-0.408,-0.747
4885,R4053,4.962134,0.576,1.045,-0.05,0.546
4910,R4053,2.827008,0.673,1.319,-0.003,0.426
4925,R4053,2.485486,1.127,0.577,0.014,0.764
4941,R4053,5.053917,0.716,0.421,0.339,-0.126
5056,R4053,7.738678,-0.717,0.168,-0.811,-0.788
5072,R4053,5.220863,-1.334,-0.29,-0.738,1.066
5096,R4053,2.585271,-0.855,-0.373,-0.595,0.965
5135,R4053,2.877481,-1.326,0.032,0.353,0.643
5150,R4053,2.727257,-0.27,0.406,0.241,0.089
5175,R4053,2.726891,-0.638,0.187,0.411,0.618
5289,R4053,2.176428,0.284,0.035,0.405,0.071
5305,R4053,4.862033,-1.668,-0.392,0.813,0.615
5323,R4053,2.635215,-1.632,-0.682,0.231,0.863
5342,R4053,5.011722,-1.234,-0.424,0.105,0.543
5438,R3891,5.153796,0.133,0.403,0.562,-0.842
5453,R3891,2.435434,-0.498,0.269,0.264,-0.061
5470,R3891,8.39793,-0.229,0.494,1.167,1.18
5493,R3891,2.435077,-1.66,0.493,0.691,-0.788
5657,R3891,2.385405,-0.391,-1.145,-0.728,0.22
5673,R3891,5.370824,-1.221,0.091,-0.805,0.174
5694,R3891,2.626767,-0.943,0.074,-1.359,0.651
5755,R3891,2.426618,-0.411,-1.201,-0.094,0.55
5770,R3891,2.635519,-1.081,-0.599,-0.298,-0.07
5785,R3891,2.677202,0.274,0.56,-1.417,-1.757
5948,R3891,2.484979,0.185,0.927,-0.15,0.269
5964,R3891,5.020645,-0.64,0.067,-0.296,-2.023
5983,R3891,4.961723,-0.067,-1.949,2.143,0.254
6000,R3891,8.089281,-0.939,-0.217,-0.653,-0.34
6050,R4140,2.435047,-0.395,-0.687,-0.136,-1.7
6066,R4140,5.312599,-0.415,-1.976,0.175,-1.642
6081,R4140,2.827381,-0.916,-1.237,0.061,-1.162
6097,R4140,5.012293,-0.034,-2.221,0.093,-2.256
6230,R4140,2.285356,-0.274,-0.441,0.424,-0.341
6252,R4140,5.353678,-0.585,-0.136,-0.462,-1.669
6268,R4140,5.10396,-1.274,0.34,0.364,-3.129
6283,R4140,2.735673,-0.756,2.439,-0.471,-3.075
6304,R4140,7.538599,-0.333,-0.975,0.886,-0.58
6400,R4140,7.180109,-0.864,-0.29,0.284,-0.477
6415,R4140,2.326962,-0.132,0.123,0.044,-2.44
6441,R4140,2.476726,-0.513,-0.21,-0.003,-1.253
6456,R4140,2.777289,-0.875,-0.287,-0.26,-0.844
6502,R4140,5.562164,-0.967,-0.884,-0.037,0.958
6526,R4140,2.776864,-0.506,0.73,0.122,-2.678
6648,R4302,2.826911,-0.574,0.9,0.167,0.139
6678,R4302,2.877068,-0.539,0.942,-0.043,1.22
6801,R4302,2.326576,-1.147,-0.307,-0.518,1.184
6816,R4302,2.827427,0.418,-0.823,0.625,0.641
6839,R4302,11.074324,-0.844,-0.373,-1.182,0.114
6854,R4302,2.527225,0.895,-0.21,-1.022,0.092
7022,R4302,7.639039,1.02,-0.676,0.481,-0.561
7037,R4302,2.3855,-0.907,-0.716,-0.5,1.307
7148,R4302,2.485603,0.718,-0.33,-0.816,0.726
7167,R4302,5.270385,-0.331,-1.356,-1.501,2.584
7192,R4302,5.211987,-0.605,0.976,0.022,0.425
7211,R4302,4.970073,-1.434,-0.243,-0.644,0.667
7250,R4275,5.020469,1.566,0.685,1.253,-0.197
7265,R4275,2.477053,1.329,0.747,0.369,1.122
7288,R4275,2.726902,0.723,1.033,0.626,1.211
7303,R4275,2.627165,1.167,1.382,0.72,0.002
7469,R4275,2.676812,1.2,1.027,-0.098,-0.374
7484,R4275,2.68559,0.642,0.936,0.539,0.231
7507,R4275,7.697078,-0.532,0.169,1.034,-0.269
7623,R4275,4.911745,-0.437,0.504,0.026,0.5
7639,R4275,4.812058,0.913,0.78,-0.444,0.773
7658,R4275,4.861734,0.037,1.578,0.104,0.422
7715,R4275,2.7769,-1.284,0.626,-0.023,1.418
7730,R4275,2.83582,-1.019,0.787,0.237,0.798
7905,R4307,2.577076,-1.218,0.234,0.984,-0.599
7921,R4307,5.21234,-1.381,0.047,0.025,1.607
7939,R4307,2.176434,-0.408,0.69,-0.174,-0.038
7965,R4307,5.262054,-0.73,-0.455,0.343,2.185
8007,R4307,2.176417,-0.551,0.616,0.009,-0.404
8022,R4307,2.685767,-1.043,1.576,-0.135,-0.639
8037,R4307,2.66058,-0.85,-0.192,0.106,0.543
8052,R4307,2.835721,-0.714,-0.173,0.214,0.192
8067,R4307,2.727319,-0.948,-0.155,0.597,0.76
8159,R4307,2.726879,0.101,-0.537,-0.434,-0.385
8181,R4307,2.384919,-1.084,-0.051,-0.641,-0.259
8362,R4307,4.920094,-1.357,-0.767,-1.102,0.395
8388,R4307,2.426662,-1.789,-0.253,0.069,1.824
8403,R4307,2.626995,-0.86,-0.067,-0.418,0.663
8418,R4307,2.727284,-0.605,-2.468,0.453,-0.881
8461,R4220,2.676935,0.392,0.012,-0.875,-0.095
8478,R4220,7.138633,0.905,0.438,-0.315,-0.095
8493,R4220,2.477134,0.758,-0.372,0.358,-1.026
8511,R4220,2.685302,-0.524,-0.28,-0.934,-0.687
8624,R4220,7.838756,-0.088,-1.48,-1.748,-0.411
8644,R4220,2.776984,1.177,-1.375,-1.915,1.121
8804,R4220,7.229996,0.806,-1.295,-1.694,0.508
8822,R4220,2.376592,0.278,-1.013,-0.155,0.484
8838,R4220,5.262239,1.206,-1.271,-0.198,2.963
8853,R4220,2.385402,-0.253,-0.931,0.621,1.944
8871,R4220,2.626829,0.073,1.289,2.193,1.483
8973,R4220,2.585554,1.75,-1.019,-1.161,-0.474
8996,R4220,8.189148,0.209,-1.097,0.492,0.729
9018,R4220,2.626856,0.711,-0.652,-0.136,0.39
9070,R4007,8.289001,2.292,-0.068,1.21,-0.136
9085,R4007,2.527174,1.887,1.241,0.962,-1.153
9293,R4007,5.353835,-1.025,0.328,-0.788,1.349
9309,R4007,5.412508,-1.68,-0.463,0.097,-1.004
9324,R4007,2.527144,-1.235,-0.342,1.638,1.94
9420,R4007,7.688802,-1.749,0.461,-0.35,-0.205
9440,R4007,2.476624,-0.872,0.22,-0.028,0.669
9460,R4007,2.52665,-0.05,0.088,2.29,-1.379
9476,R4007,5.40417,-0.236,-0.79,0.196,0.158
9516,R4007,7.539004,-1.585,0.287,0.677,-0.597
9665,R3773,2.627085,0.268,-2.511,0.3,-1.468
9685,R3773,5.061948,-0.605,-2.337,0.602,-0.755
9700,R3773,2.427112,-0.054,-1.855,0.029,-1.093
9720,R3773,4.853363,-0.781,-2.005,1.304,-1.619
9826,R3773,2.626757,-0.913,-1.953,0.033,-1.376
9848,R3773,2.426666,0.05,-1.704,0.933,-1.639
10038,R3773,2.484955,-1.922,-0.204,0.81,0.497
10053,R3773,2.685594,-1.718,-0.723,1.358,-0.056
10080,R3773,7.396816,-0.8,-1.367,2.255,-0.186
10175,R3773,2.735174,-0.862,-2.488,1.763,1.202
10197,R3773,2.535184,-0.853,0.925,2.154,-0.15
10212,R3773,2.627323,-1.491,0.774,2.167,0.064
10230,R3773,2.526716,-0.258,-2.098,0.411,-1.006
10350,R4239,2.776801,-1.755,-0.664,1.541,0.638
10375,R4239,5.311921,-1.489,-0.006,0.366,0.906
10421,R4239,5.154004,0.642,0.448,0.176,-0.891
10442,R4239,2.326549,1.067,0.688,-0.265,-0.478
10465,R4239,2.585112,-2.264,-0.835,-0.342,0.885
10571,R4239,2.527296,1.996,2.001,0.506,-0.814
10589,R4239,2.226417,0.27,-1.945,-0.151,1.547
10614,R4239,2.6768,-0.373,0.877,0.593,1.629
10795,R4239,4.719856,-1.274,-0.6,0.601,1.505
10820,R4239,2.526261,-1.476,-0.393,1.869,2.001
10835,R4239,2.535342,-2.169,-0.972,2.123,2.087
10873,R3557,2.577282,1.514,-2.453,0.446,-0.722
10889,R3557,5.16208,1.212,-2.163,0.238,-1.51
11110,R3557,5.204162,0.521,-0.4,0.899,-1.754
11232,R3557,7.488421,-0.274,-1.8,1.26,0.223
11251,R3557,5.312002,-0.132,-1.706,0.36,0.321
11266,R3557,2.527015,1.212,-2.163,0.238,-1.51
11288,R3557,2.726859,-0.737,-0.974,2.381,-0.031
11327,R3557,5.062181,0.268,-2.511,0.3,-1.468
11346,R3557,5.020107,0.034,-0.362,-0.395,-0.966
11364,R3557,2.776897,1.212,-2.163,0.238,-1.51
11555,R3111,4.803339,0.797,0.513,1.088,0.124
11579,R3111,2.626822,-0.219,-0.67,1.348,0.398
11645,R3111,2.276522,-0.664,-0.505,0.819,1.682
11661,R3111,5.012149,0.706,0.804,0.725,2.322
11842,R3111,5.312337,0.395,1.217,1.038,-0.78
11865,R3111,4.911693,0.433,0.216,-0.155,0.807
11891,R3111,2.935364,-0.871,-1.007,-0.7,0.545
11943,R3111,2.42669,-1.079,0.24,1.29,-0.283
11959,R3111,5.003968,0.193,1.577,-0.451,0.501
11974,R3111,2.777316,0.839,0.237,1.027,1.616
12101,R4236,2.726848,0.012,-0.432,-0.233,-1.099
12298,R4236,4.803251,-0.131,-1.234,-0.253,-0.224
12321,R4236,7.797127,-0.305,-1.382,-0.07,-1.251
12338,R4236,7.88916,-1.518,-1.346,-1.354,0.076
12464,R4236,2.585211,-1.095,-0.904,-0.882,2.005
12487,R4236,2.426638,-0.506,-0.523,-1.282,1.096
12545,R4236,5.320359,-1.404,-0.659,-1.859,0.081
12561,R4236,5.304042,-0.88,-0.505,-0.855,-0.769
12695,R4088,2.626792,0.123,-1.002,0.264,-1.043
12710,R4088,2.626816,-0.639,-1.286,-0.186,0.376
12887,R4088,2.927047,-1.861,0.045,-0.842,-0.192
12909,R4088,2.368576,-0.39,-0.57,1.262,0.472
12924,R4088,2.877062,-0.08,-1.385,0.003,-1.328
12940,R4088,4.961742,0.624,-1.291,-0.866,-0.437
13000,R4088,5.503761,-0.7,0,-0.599,-0.473
13021,R4088,2.635223,-0.141,-0.297,0.18,0.599
13216,R4088,5.253593,0.374,-0.675,0.144,-0.713
13251,R4088,2.526719,-1.169,-0.448,0.346,0.833
13293,R4204,5.603864,-1.043,0.277,-0.833,0.412
13310,R4204,7.780422,-0.828,-1.046,0.179,0.228
13328,R4204,2.676814,-0.521,0.218,0.406,-0.148
13490,R4204,2.726865,-1.218,0.573,1.291,-0.951
13505,R4204,2.626923,-1.879,-0.187,2.317,-0.534
13520,R4204,2.476611,-1.339,-1.325,1.705,-0.688
13546,R4204,8.180686,-1.072,-1.488,1.249,-0.075
13592,R4204,5.103357,-0.71,-0.494,1.151,-0.305
13612,R4204,8.08903,-0.887,-0.265,1.4,-0.139
13637,R4204,2.676765,-1.603,1.064,1.999,1.387
13794,R4204,2.585084,-0.124,0.822,0.091,-0.514
13810,R4204,5.103426,-2.584,0.663,-1.126,-2.001
13825,R4204,2.885456,-1.993,1.546,0.325,-2.054
13843,R4204,2.276575,-0.387,1.409,1.219,-1.573
13944,R4065,2.777019,0.695,-1.237,-0.326,-1.115
13968,R4065,7.238241,-0.356,-1.257,-0.565,0.026
13987,R4065,2.4767,-0.306,-1.615,-0.324,0.932
14002,R4065,2.726908,-0.186,-2.205,-0.497,1.536
14044,R4065,2.376638,-0.231,-1.666,1.032,-0.808
14063,R4065,5.153591,0.328,-0.651,-0.245,0.158
14083,R4065,5.462171,-0.687,-0.52,0.936,-0.109
14102,R4065,5.153563,-0.142,-0.577,-0.774,2.363
14264,R4065,7.83039,-0.363,-0.204,-0.173,-0.302
14293,R4065,2.626758,-1.625,-0.819,-0.64,0.214
14308,R4065,2.526785,-0.79,-1.484,-0.294,-1.603
14357,R4065,5.153431,-0.92,0.018,-0.034,0.301
14376,R4065,4.861713,-0.484,-1.603,-0.395,-0.629
14504,R4131,2.676949,-0.152,-0.509,1.33,-0.119
14524,R4131,8.230739,1.291,-0.118,0.874,0.162
14661,R4131,2.326534,-1.694,-0.185,0.238,1.459
14676,R4131,2.726841,0.206,-0.699,1.727,0.762
14862,R4131,5.312026,-0.036,-0.548,1.343,1.365
14882,R4131,2.576804,-0.922,-1.397,0.55,1.348
14904,R4131,4.969796,-1.123,0.058,0.98,2.229
14992,R4131,7.780339,-0.087,1.275,-0.243,-0.278
15010,R4131,2.677017,-1.507,-0.076,0.176,0.768
15025,R4131,2.426542,-0.409,0.791,1.046,-1.173
15044,R4131,5.203565,-0.925,0.142,0.575,2.337
15060,R4131,5.153467,-1.179,0.181,0.551,0.611
15172,R4222,2.476704,-0.099,-0.04,0.879,1.61
15189,R4222,7.688682,0.49,-0.335,0.409,0.034
15204,R4222,2.77695,1.195,0.7,-0.29,0.247
15260,R4222,2.576805,-0.067,-0.266,1.138,0.464
15279,R4222,2.635168,0.435,0.586,0.307,-0.145
15295,R4222,4.861785,-0.25,0.661,0.315,0.375
15310,R4222,2.776972,-0.608,-0.16,0.091,-0.879
15405,R4222,7.580087,-0.898,1.211,-1.256,-0.934
15424,R4222,2.676822,-0.651,0.61,-0.269,-0.551
15448,R4222,2.826972,-0.679,0.566,-0.214,-0.526
15633,R4222,2.726932,-1.025,1.174,0.178,-0.715
15649,R4222,4.86175,-1.241,1.25,-0.274,-0.002
15667,R4222,2.826896,-0.922,0.902,-0.23,-0.317
15711,R4165,2.877056,0.398,-0.097,1.175,-0.96
15735,R4165,8.289109,-0.255,-0.156,-0.686,0.493
15750,R4165,2.785362,-0.672,-0.534,0.112,-0.51
15935,R4165,7.580125,-1.023,-0.649,0.525,0.511
15961,R4165,2.526748,-0.97,-0.837,-0.637,-0.469
16060,R4165,5.412163,-0.478,-0.278,-0.196,-1.438
16075,R4165,2.176411,-0.439,-0.905,0.889,-0.045
16100,R4165,3.402791,-1.056,-0.858,0.806,1.045
16119,R4165,5.462087,-0.808,-0.41,0.27,-0.306
16170,R4165,2.376716,0.295,-0.823,0.203,0.086
16186,R4165,5.41218,0.025,-1.015,0.372,-0.126
16201,R4165,2.626741,-0.377,-1.326,0.198,0.18
16390,R4315,2.876998,0.134,-0.036,-1.125,-0.309
16405,R4315,2.476632,-0.509,-0.536,-0.373,0.06
16421,R4315,5.871227,0.16,0.157,-1.343,1.323
16533,R4315,5.453797,0.749,0.467,-1.189,-0.802
16549,R4315,5.553872,-0.045,-0.15,-0.422,0.651
16567,R4315,2.526698,0.295,0.318,-1.321,0.993
16616,R4315,2.894132,1.553,-0.916,0.09,1.339
16637,R4315,2.226591,0.691,0.506,0.341,1.966
16653,R4315,4.953479,0.62,2.065,-1.278,0.18
16767,R4315,2.676766,-2.791,0.669,-0.673,-1.183
16785,R4315,2.526639,-0.252,0.462,-0.611,0.611
16804,R4315,5.011872,-1.013,0.61,-0.396,-0.224
16986,R3380,2.626935,0.175,0.366,0.146,0.328
17004,R3380,2.776943,1.114,-0.094,-0.806,0.578
17019,R3380,2.585165,0.948,0.451,-1.082,-0.737
17114,R3380,2.701892,0.302,0.691,-1.72,-0.719
17129,R3380,2.610073,0.578,0.457,-1.688,-0.61
17151,R3380,7.129916,-0.107,-0.45,0.495,0.877
17166,R3380,2.626905,-0.586,0.774,-1.495,-1.191
17215,R3380,2.626928,-0.847,0.038,0.226,-0.715
17238,R3380,2.576735,-0.419,-0.179,-0.195,0.157
17253,R3380,2.476733,0.176,1.012,-0.364,-0.824
17370,R3380,4.753309,0.299,0.27,-0.813,0.624
17393,R3380,2.426557,0.079,-0.144,0.277,0.624
17411,R3380,2.52674,-0.652,-0.331,0.552,-0.628
17556,R3385,2.476659,2.001,-0.024,2.385,-1.112
17571,R3385,2.485026,1.98,0.183,2.377,-1.158
17587,R3385,5.503837,0.926,-0.001,2.143,-1.11
17610,R3385,2.77691,0.476,-0.333,2.11,-0.058
17626,R3385,4.87008,1.833,-0.223,2.582,-1.297
17737,R3385,2.58514,0.904,-0.847,1.821,-0.713
17755,R3385,2.877007,-0.05,-0.108,2.201,1.39
17777,R3385,2.576865,-1.001,0.287,-0.506,-1.082
17819,R3385,2.735159,1.373,0.048,2.182,-1.168
17834,R3385,2.726882,-0.621,-0.48,2.065,1.343
17851,R3385,7.480207,-1.22,0.178,1.938,0.185
17878,R3385,7.580226,-0.863,-0.333,1.574,-1.141
17986,R3385,2.676838,-0.653,-0.426,2.116,-0.701
18001,R3385,2.726973,1.336,-0.205,2.334,-1.28
18016,R3385,2.876991,-0.159,-0.825,1.916,-0.188
18122,R4505,5.399485,0.898,-0.538,1.229,-0.947
18145,R4505,5.399788,-0.519,-0.11,-0.162,-0.677
18160,R4505,2.674714,0.346,-1.153,1.605,-1.205
18180,R4505,2.274607,-0.064,0.36,0.691,-1.44
18347,R4505,2.425019,0.566,0.103,-0.843,-0.272
